Date,Month,Year,MONTHLY AVERAGE
1/1/93,1,1993,7.27011515
2/1/93,2,1993,3.813668853
3/1/93,3,1993,0.826668452
4/1/93,4,1993,1.295966458
5/1/93,5,1993,1.218536702
6/1/93,6,1993,1.217623256
7/1/93,7,1993,1.217623256
8/1/93,8,1993,0.964598768
9/1/93,9,1993,0.56916808
10/1/93,10,1993,0.567249844
11/1/93,11,1993,0.699425452
12/1/93,12,1993,0.707920498
1/1/94,1,1994,0.707920498
2/1/94,2,1994,0.820176462
3/1/94,3,1994,0.538019578
4/1/94,4,1994,1.012798259
5/1/94,5,1994,0.900657562
6/1/94,6,1994,0.970323029
7/1/94,7,1994,0.976473564
8/1/94,8,1994,0.749939005
9/1/94,9,1994,0.758890774
10/1/94,10,1994,0.68782469
11/1/94,11,1994,0.707920498
12/1/94,12,1994,0.69878604
1/1/95,1,1995,8.302308908
2/1/95,2,1995,1.197396956
3/1/95,3,1995,10.02963492
4/1/95,4,1995,0.283168199
5/1/95,5,1995,0.283168199
6/1/95,6,1995,0.323755641
7/1/95,7,1995,0.527058229
8/1/95,8,1995,0.566336398
9/1/95,9,1995,0.566336398
10/1/95,10,1995,0.567249844
11/1/95,11,1995,0.566336398
12/1/95,12,1995,1.305314053
1/1/96,1,1996,1.726412569
2/1/96,2,1996,12.58731467
3/1/96,3,1996,55.35846947
4/1/96,4,1996,19.4970744
5/1/96,5,1996,1.218536702
6/1/96,6,1996,1.217623256
7/1/96,7,1996,1.217623256
8/1/96,8,1996,0.964598768
9/1/96,9,1996,0.570111974
10/1/96,10,1996,0.566336398
11/1/96,11,1996,0.706976604
12/1/96,12,1996,2.786923146
1/1/97,1,1997,109.9085394
2/1/97,2,1997,47.55000852
3/1/97,3,1997,3.698542058
4/1/97,4,1997,1.300685928
5/1/97,5,1997,1.219450148
6/1/97,6,1997,1.217623256
7/1/97,7,1997,1.217623256
8/1/97,8,1997,0.964598768
9/1/97,9,1997,0.56916808
10/1/97,10,1997,0.566336398
11/1/97,11,1997,0.70603271
12/1/97,12,1997,0.707920498
1/1/98,1,1998,1.427715791
2/1/98,2,1998,194.1269702
3/1/98,3,1998,51.69829214
4/1/98,4,1998,26.93212741
5/1/98,5,1998,6.187681873
6/1/98,6,1998,7.860749206
7/1/98,7,1998,1.217623256
8/1/98,8,1998,0.964598768
9/1/98,9,1998,0.572943656
10/1/98,10,1998,0.566336398
11/1/98,11,1998,0.706976604
12/1/98,12,1998,0.707920498
1/1/99,1,1999,0.707920498
2/1/99,2,1999,15.20815492
3/1/99,3,1999,29.82309204
4/1/99,4,1999,24.53558056
5/1/99,5,1999,1.945639561
6/1/99,6,1999,1.217623256
7/1/99,7,1999,1.217623256
8/1/99,8,1999,0.964598768
9/1/99,9,1999,0.56916808
10/1/99,10,1999,0.566336398
11/1/99,11,1999,0.70603271
12/1/99,12,1999,0.707920498
1/1/00,1,2000,0.767294475
2/1/00,2,2000,2.370801336
3/1/00,3,2000,15.92044691
4/1/00,4,2000,1.565920141
5/1/00,5,2000,1.218536702
6/1/00,6,2000,1.217623256
7/1/00,7,2000,1.217623256
8/1/00,8,2000,0.964598768
9/1/00,9,2000,0.56916808
10/1/00,10,2000,0.566336398
11/1/00,11,2000,1.015629941
12/1/00,12,2000,0.707920498
1/1/01,1,2001,0.725275968
2/1/01,2,2001,1.48562173
3/1/01,3,2001,1.794921004
4/1/01,4,2001,1.31295655
5/1/01,5,2001,1.218536702
6/1/01,6,2001,1.217623256
7/1/01,7,2001,1.217623256
8/1/01,8,2001,0.996569372
9/1/01,9,2001,0.742844576
10/1/01,10,2001,0.683257461
11/1/01,11,2001,1.030732245
12/1/01,12,2001,1.955687465
1/1/02,1,2002,1.264208992
2/1/02,2,2002,0.456103064
3/1/02,3,2002,0.953637419
4/1/02,4,2002,1.31767602
5/1/02,5,2002,1.218536702
6/1/02,6,2002,1.217623256
7/1/02,7,2002,1.217623256
8/1/02,8,2002,0.964598768
9/1/02,9,2002,0.570111974
10/1/02,10,2002,0.570903627
11/1/02,11,2002,1.136448372
12/1/02,12,2002,4.379972628
1/1/03,1,2003,0.730756643
2/1/03,2,2003,5.655273462
3/1/03,3,2003,9.136284926
4/1/03,4,2003,7.945699666
5/1/03,5,2003,13.63043828
6/1/03,6,2003,1.652758389
7/1/03,7,2003,1.217623256
8/1/03,8,2003,0.965512214
9/1/03,9,2003,0.723966696
10/1/03,10,2003,0.707920498
11/1/03,11,2003,0.757002986
12/1/03,12,2003,1.516320034
1/1/04,1,2004,1.122624892
2/1/04,2,2004,73.16773332
3/1/04,3,2004,40.98357286
4/1/04,4,2004,2.236084879
5/1/04,5,2004,1.218536702
6/1/04,6,2004,1.217623256
7/1/04,7,2004,1.217623256
8/1/04,8,2004,0.967339106
9/1/04,9,2004,0.962771877
10/1/04,10,2004,0.915272695
11/1/04,11,2004,0.947669573
12/1/04,12,2004,1.418581333
1/1/05,1,2005,1.582088132
2/1/05,2,2005,1.379433656
3/1/05,3,2005,19.20063079
4/1/05,4,2005,17.13167604
5/1/05,5,2005,4.129688478
6/1/05,6,2005,1.217623256
7/1/05,7,2005,1.217623256
8/1/05,8,2005,0.967339106
9/1/05,9,2005,0.570111974
10/1/05,10,2005,0.566336398
11/1/05,11,2005,0.948613467
12/1/05,12,2005,3.931470738
1/1/06,1,2006,82.2777173
2/1/06,2,2006,23.70522352
3/1/06,3,2006,100.9622512
4/1/06,4,2006,104.7420291
5/1/06,5,2006,11.02163706
6/1/06,6,2006,1.217623256
7/1/06,7,2006,1.217623256
8/1/06,8,2006,0.965512214
9/1/06,9,2006,0.571055868
10/1/06,10,2006,0.608354905
11/1/06,11,2006,0.772105289
12/1/06,12,2006,0.869600405
1/1/07,1,2007,0.707920498
2/1/07,2,2007,0.480374623
3/1/07,3,2007,0.996569372
4/1/07,4,2007,1.302573716
5/1/07,5,2007,1.218536702
6/1/07,6,2007,1.217623256
7/1/07,7,2007,1.217623256
8/1/07,8,2007,0.964598768
9/1/07,9,2007,0.713583862
10/1/07,10,2007,0.56816329
11/1/07,11,2007,0.693762088
12/1/07,12,2007,1.065991253
1/1/08,1,2008,3.386143593
2/1/08,2,2008,1.038934358
3/1/08,3,2008,0.982867685
4/1/08,4,2008,1.415840995
5/1/08,5,2008,1.217623256
6/1/08,6,2008,1.217623256
7/1/08,7,2008,1.217623256
8/1/08,8,2008,0.989261805
9/1/08,9,2008,0.779656441
10/1/08,10,2008,0.814793657
11/1/08,11,2008,0.935398951
12/1/08,12,2008,1.242286293
1/1/09,1,2009,0.879648309
2/1/09,2,2009,1.730359959
3/1/09,3,2009,1.457859502
4/1/09,4,2009,1.297854246
5/1/09,5,2009,1.242286293
6/1/09,6,2009,1.217623256
7/1/09,7,2009,1.239545955
8/1/09,8,2009,1.18839299
9/1/09,9,2009,1.178923602
10/1/09,10,2009,1.094308073
11/1/09,11,2009,1.160989616
12/1/09,12,2009,1.342765331
1/1/10,1,2010,2.795144159
2/1/10,2,2010,1.146831206
3/1/10,3,2010,1.257814871
4/1/10,4,2010,1.822659308
5/1/10,5,2010,1.354640127
6/1/10,6,2010,1.519669335
7/1/10,7,2010,1.505358684
8/1/10,8,2010,0.98378113
9/1/10,9,2010,0.896699297
10/1/10,10,2010,0.787390283
11/1/10,11,2010,0.805141579
12/1/10,12,2010,1.185652653
1/1/11,1,2011,0.911618912
2/1/11,2,2011,1.54023274
3/1/11,3,2011,4.675015622
4/1/11,4,2011,1.449821179
5/1/11,5,2011,1.218536702
6/1/11,6,2011,1.26104238
7/1/11,7,2011,1.253247642
8/1/11,8,2011,0.992915588
9/1/11,9,2011,0.845729021
10/1/11,10,2011,0.739891101
11/1/11,11,2011,0.883484781
12/1/11,12,2011,1.067818144
1/1/12,1,2012,0.826668452
2/1/12,2,2012,0.750883949
3/1/12,3,2012,2.036070696
4/1/12,4,2012,1.604619795
5/1/12,5,2012,1.237719064
6/1/12,6,2012,1.366758508
7/1/12,7,2012,1.384783838
8/1/12,8,2012,1.065077807
9/1/12,9,2012,0.984481439
10/1/12,10,2012,0.876907971
11/1/12,11,2012,1.041115079
12/1/12,12,2012,2.209625399
1/1/13,1,2013,0.746285221
2/1/13,2,2013,0.766576768
3/1/13,3,2013,1.30166027
4/1/13,4,2013,1.916104814
5/1/13,5,2013,1.292525812
6/1/13,6,2013,1.507398713
7/1/13,7,2013,1.541896516
8/1/13,8,2013,1.19935434
9/1/13,9,2013,1.040171185
10/1/13,10,2013,0.95546431
11/1/13,11,2013,1.047722337
12/1/13,12,2013,1.360120801
1/1/14,1,2014,1.177431641
2/1/14,2,2014,1.155933041
3/1/14,3,2014,1.509012467
4/1/14,4,2014,2.103939719
5/1/14,5,2014,1.892659705
6/1/14,6,2014,2.069959535
7/1/14,7,2014,1.651510013
8/1/14,8,2014,1.270603113
9/1/14,9,2014,1.137392266
10/1/14,10,2014,1.115317326
11/1/14,11,2014,1.381860812
12/1/14,12,2014,1.602183939
1/1/15,1,2015,1.268776221
2/1/15,2,2015,1.359207356
3/1/15,3,2015,1.699009194
4/1/15,4,2015,2.192665755
5/1/15,5,2015,1.719105002
6/1/15,6,2015,1.761306198
7/1/15,7,2015,1.640548663
8/1/15,8,2015,1.333630873
9/1/15,9,2015,1.16193351
10/1/15,10,2015,1.07969294
11/1/15,11,2015,1.544210579
12/1/15,12,2015,1.282477908
1/1/16,1,2016,1.50627213
2/1/16,2,2016,1.200047299
3/1/16,3,2016,3.529554585
4/1/16,4,2016,2.171900087
5/1/16,5,2016,1.479782202
6/1/16,6,2016,1.841537188
7/1/16,7,2016,1.455119165
8/1/16,8,2016,1.041328216
9/1/16,9,2016,0.778712547
10/1/16,10,2016,0.874167634
11/1/16,11,2016,1.551761731
12/1/16,12,2016,1.27334345
1/1/17,1,2017,8.385432476
2/1/17,2,2017,74.52784737
3/1/17,3,2017,41.97283467
4/1/17,4,2017,25.8966757
5/1/17,5,2017,2.377699426
6/1/17,6,2017,1.217623256
7/1/17,7,2017,1.217623256
8/1/17,8,2017,0.975560118
9/1/17,9,2017,0.732461742
10/1/17,10,2017,0.62479693
11/1/17,11,2017,1.31767602
12/1/17,12,2017,1.013011396