Year ,Pre/Post,SiteA_Type,SiteA,SiteB_Type,SiteB,SiteC_Type,SiteC,SiteD_Type,SiteD,SiteE_Type,SiteE,SiteF_Type,SiteF
1993,1,2,6,2,7,2,11,2,6,2,8,2,12
1994,1,2,5,2,6,2,8,2,10,2,9,2,9
1995,1,2,2,2,9,2,9,2,12,2,12,2,10
1996,1,2,5,2,7,2,7,2,9,2,10,2,12
1997,1,2,6,2,7,2,6,2,9,2,8,2,13
1998,1,2,7,2,4,2,9,2,8,2,9,2,8
1999,1,2,3,2,4,2,5,2,4,2,9,2,10
2000,1,2,3,2,4,2,7,2,10,2,NA,2,14
2001,2,2,1,2,2,2,8,2,8,2,NA,2,17
2002,2,2,2,2,2,2,6,2,10,2,9,2,9
2003,2,2,5,2,0,2,8,2,7,2,6,2,9
2004,2,2,7,2,0,2,5,2,9,2,7,2,16
2005,2,2,6,2,1,2,5,2,6,2,10,2,11
2006,2,2,4,2,1,2,3,2,8,2,10,2,12
2007,2,2,1,2,1,2,4,2,7,2,9,2,10
2008,2,2,0,2,1,2,5,2,6,2,8,2,12
2010,2,2,1,2,1,2,5,2,8,2,8,2,12
2011,2,2,NA,2,NA,2,NA,2,NA,2,8,2,8
2012,2,2,0,2,0,2,2,2,7,2,7,2,10
2013,2,2,NA,2,0,2,2,2,4,2,6,2,11
2014,2,2,1,2,1,2,3,2,5,2,10,2,11
2015,2,2,1,2,2,2,1,2,7,2,7,2,11
2016,2,2,4,2,1,2,3,2,7,2,5,2,8
2017,2,2,0,2,NA,2,3,2,8,2,11,2,7
1993,1,1,6,1,3,1,3,1,3,1,3,1,3
1994,1,1,7,1,4,1,4,1,3,1,3,1,2
1995,1,1,5,1,5,1,1,1,5,1,1,1,3
1996,1,1,7,1,2,1,5,1,3,1,3,1,5
1997,1,1,5,1,6,1,3,1,3,1,1,1,0
1998,1,1,6,1,6,1,4,1,4,1,1,1,2
1999,1,1,7,1,5,1,6,1,3,1,1,1,2
2000,1,1,7,1,5,1,3,1,3,1,NA,1,1
2001,2,1,6,1,4,1,5,1,5,1,NA,1,3
2002,2,1,5,1,6,1,4,1,4,1,2,1,3
2003,2,1,8,1,7,1,5,1,3,1,2,1,2
2004,2,1,7,1,7,1,4,1,4,1,0,1,1
2005,2,1,7,1,6,1,4,1,4,1,3,1,3
2006,2,1,6,1,7,1,4,1,4,1,4,1,3
2007,2,1,6,1,6,1,4,1,3,1,1,1,3
2008,2,1,5,1,6,1,4,1,4,1,3,1,3
2010,2,1,6,1,6,1,4,1,3,1,1,1,2
2011,2,1,NA,1,NA,1,NA,1,NA,1,3,1,4
2012,2,1,5,1,6,1,4,1,3,1,1,1,2
2013,2,1,NA,1,6,1,4,1,4,1,2,1,3
2014,2,1,6,1,6,1,4,1,4,1,1,1,4
2015,2,1,7,1,6,1,4,1,4,1,0,1,3
2016,2,1,7,1,5,1,3,1,4,1,1,1,2
2017,2,1,6,1,NA,1,4,1,4,1,2,1,0