,A,B,C,D,E,F
1993,1.774,1.390,2.198,1.638,1.176,0.940
1994,1.504,1.458,1.685,1.513,0.944,0.510
1995,1.183,2.085,1.396,1.772,1.126,1.157
1996,1.854,1.621,1.910,1.586,1.251,1.455
1997,1.773,2.231,1.837,1.938,1.305,1.612
1998,1.891,1.464,1.417,2.003,1.376,1.465
1999,1.334,1.544,1.389,0.399,1.869,1.994
2000,1.644,1.501,1.188,0.967,NA,1.971
2001,1.539,1.289,1.571,1.371,NA,2.127
2002,1.312,1.345,1.958,1.533,1.521,1.677
2003,1.707,1.154,1.615,1.313,1.165,1.309
2004,1.796,1.369,1.260,1.407,1.326,1.862
2005,1.303,1.418,1.417,1.502,1.229,2.077
2006,1.615,1.458,0.804,1.253,1.193,1.954
2007,1.287,1.447,1.553,1.185,1.556,1.789
2008,0.969,1.591,1.276,1.164,1.547,2.028
2010,1.379,1.065,1.410,1.312,1.621,1.582
2011,NA,NA,NA,NA,1.511,1.353
2012,1.569,1.090,0.872,1.382,1.310,1.200
2013,NA,1.449,1.288,1.091,1.301,1.719
2014,1.298,1.200,0.953,1.335,1.072,1.843
2015,1.471,1.804,1.200,1.249,0.956,2.116
2016,1.732,1.412,0.983,1.414,0.988,1.876
2017,1.347,NA,1.111,1.259,1.708,1.435